ID Policijska uprava;Policijska uprava;Godina;Broj testiranih vozača;% vozača pod uticajem alkohola RADNIM DANIMA;% vozača pod uticajem alkohola VIKENDOM;% vozača pod uticajem alkohola DANJU;% vozača pod uticajem alkohola NOĆU;% vozača pod uticajem alkohola U NASELJU;% vozača pod uticajem alkohola VAN NASELJA;% vozača pod uticajem alkohola UKUPNO;Klasa NASELJE;Klasa VAN NASELJA;Klasa UKUPNO
100;Srbija;2013;36876;0.88;1.08;;;1.08;0.84;0.95;5;5;
1;Beograd;2013;2521;1.29;0.31;0.31;1.29;0.58;0.87;0.67;5;5;
2;Kragujevac;2013;2798;1.20;1.41;0.97;1.68;1.20;1.23;1.22;5;5;
3;Jagodina;2013;1093;0.61;2.29;0.49;2.28;1.97;0.68;1.28;5;5;
4;Niš;2013;1284;1.40;2.94;0.79;3.82;2.41;1.62;2.02;5;5;
5;Pirot;2013;951;0.35;1.04;0.67;0.57;0.39;0.92;0.63;5;5;
7;Leskovac;2013;1061;0.64;0.23;0.16;0.91;0.38;0.63;0.47;5;5;
8;Vranje;2013;1109;0.88;0.23;0.16;1.24;0.00;0.95;0.63;1;5;
9;Zaječar;2013;1360;0.70;1.60;0.50;1.78;1.37;0.82;1.03;5;5;
10;Bor;2013;1023;0.83;0.22;0.00;1.81;1.00;0.25;0.59;5;4;
11;Smederevo;2013;863;1.42;0.00;0.00;1.46;1.47;0.26;0.93;5;4;
12;Požarevac;2013;1108;2.10;0.45;0.98;2.02;1.39;1.52;1.44;5;5;
13;Valjevo;2013;926;0.57;0.00;0.15;1.57;0.48;0.59;0.54;5;5;
14;Šabac;2013;1043;0.75;2.11;1.16;1.36;0.41;1.99;1.25;5;5;
15;Kraljevo;2013;2194;0.92;0.67;0.52;1.56;1.06;0.64;0.82;5;5;
16;Kruševac;2013;1135;0.41;0.25;0.17;0.55;0.56;0.17;0.35;5;3;
17;Čačak;2013;1850;0.47;1.41;1.41;0.47;1.37;0.55;0.97;5;5;
18;Novi Pazar;2013;1420;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;
19;Užice;2013;2189;0.81;1.13;0.80;1.10;0.91;0.00;0.91;5;1;
20;Prijepolje;2013;1326;1.01;0.93;0.95;1.02;1.58;0.53;0.98;5;5;
22;Novi Sad;2013;1190;1.23;0.88;0.34;1.80;1.20;0.99;1.09;5;5;
23;Zrenjanin;2013;1180;1.11;1.75;0.82;1.94;1.68;1.05;1.36;5;5;
24;Kikinda;2013;878;0.56;2.06;0.96;1.57;1.16;1.12;1.14;5;5;
25;Pančevo;2013;1997;0.72;2.29;0.31;3.17;1.67;0.92;1.30;5;5;
26;Sombor;2013;1220;0.94;0.63;0.38;1.62;0.46;1.25;0.82;5;5;
27;Subotica;2013;1141;0.99;2.08;0.83;2.03;1.44;1.36;1.40;5;5;
28;Sremska Mitrovica;2013;1317;0.89;1.32;0.51;1.90;1.31;0.79;1.06;5;5;
1;Beograd;2015;3142;0.84;1.30;0.62;1.44;1.03;1.02;1.02;5;5;5
10;Bor;2015;849;0.78;0.30;0.17;1.53;0.65;0.52;0.59;5;5;5
17;Čačak;2015;2936;0.33;0.62;0.30;0.75;0.34;0.54;0.44;4;5;5
3;Jagodina;2015;1076;0.76;0.96;0.33;1.47;1.23;0.51;0.84;5;5;5
24;Kikinda;2015;1404;0.86;0.42;0.56;1.19;0.57;0.80;0.71;5;5;5
2;Kragujevac;2015;2114;1.07;0.42;0.30;1.82;0.92;0.76;0.85;5;5;5
15;Kraljevo;2015;2089;0.70;0.46;0.48;0.83;0.89;0.42;0.62;5;5;5
16;Kruševac;2015;2177;0.29;0.00;0.17;0.21;0.19;0.18;0.18;3;3;3
7;Leskovac;2015;1037;0.95;0.49;0.17;1.60;0.99;0.56;0.77;5;5;5
4;Niš;2015;920;1.87;0.00;0.50;2.19;1.41;0.71;1.09;5;5;5
18;Novi Pazar;2015;1245;0.52;0.43;0.30;0.69;0.49;0.47;0.48;5;5;5
22;Novi Sad;2015;1345;1.23;1.32;0.61;1.88;1.39;1.15;1.26;5;5;5
25;Pančevo;2015;2649;0.93;0.65;0.46;1.57;1.03;0.58;0.83;5;5;5
5;Pirot;2015;970;0.69;0.52;0.34;1.07;0.57;0.68;0.62;5;5;5
12;Požarevac;2015;1829;0.69;0.76;0.50;1.11;0.74;0.69;0.71;5;5;5
20;Prijepolje;2015;2296;0.71;0.91;0.59;1.00;0.95;0.61;0.78;5;5;5
11;Smederevo;2015;1365;0.34;0.61;0.13;0.82;0.40;0.49;0.44;5;5;5
26;Sombor;2015;1261;0.98;0.45;0.35;1.78;0.41;1.34;0.79;5;5;5
100;Srbija;2015;44591;0.78;0.69;0.43;1.24;0.75;0.75;0.75;5;5;5
28;Sremska Mitrovica;2015;1591;1.40;0.34;0.30;2.23;0.72;1.33;1.01;5;5;5
27;Subotica;2015;1079;1.33;2.00;1.00;2.30;1.24;1.84;1.58;5;5;5
14;Šabac;2015;1107;1.61;1.18;0.84;2.16;1.31;1.57;1.45;5;5;5
19;Užice;2015;2480;0.55;0.82;0.52;0.86;0.38;0.94;0.65;5;5;5
13;Valjevo;2015;1905;0.46;0.17;0.16;0.74;0.47;0.31;0.37;5;4;5
8;Vranje;2015;1227;0.50;0.47;0.37;0.72;0.32;0.66;0.49;4;5;5
9;Zaječar;2015;1219;0.51;1.17;0.28;1.38;0.78;0.69;0.74;5;5;5
23;Zrenjanin;2015;2184;0.96;0.97;0.78;1.16;1.13;0.70;0.96;5;5;5
1;Beograd;2016;4363;0.89;0.73;0.63;1.10;0.86;0.80;0.83;5;5;5
2;Kragujevac;2016;1993;0.65;0.79;0.56;0.93;0.55;0.89;0.70;5;5;5
3;Jagodina;2016;1046;0.61;0.51;0.34;0.86;0.80;0.37;0.57;5;5;5
4;Niš;2016;1120;1.05;0.56;0.33;1.54;1.20;0.56;0.89;5;5;5
5;Pirot;2016;909;1.60;1.72;1.37;2.14;0.77;2.81;1.65;5;5;5
7;Leskovac;2016;1086;0.30;0.24;0.17;0.41;0.18;0.37;0.28;3;5;4
8;Vranje;2016;1228;0.61;1.23;0.83;0.80;0.00;1.55;0.81;1;5;5
9;Zaječar;2016;1474;0.40;1.29;0.64;0.74;1.08;0.27;0.68;5;4;5
10;Bor;2016;865;1.14;0.59;0.36;1.96;0.84;1.03;0.92;5;5;5
11;Smederevo;2016;1156;0.81;0.48;0.18;1.19;0.72;0.67;0.69;5;5;5
